country,state,population,rInitial,cfrInitial,flatteningDate,source,notes,continent
Afghanistan,All,36644000,,,3/29/20,,,Asia
Albania,All,3075000,,,,,,Europe
Algeria,All,42973000,,,,,,Africa
American Samoa,All,54000,,,,,,Oceania
Andorra,All,86000,,,,,,Europe
Angola,All,22485000,,,3/29/20,,,Africa
Anguilla,All,19000,,,,,,North America
Antigua and Barbuda,All,99000,,,4/2/20,,,North America
Argentina,All,45379000,,,3/19/20,,,South America
Armenia,All,3022000,,,,,,Asia
Aruba,All,120000,,,3/18/20,,,North America
Australia,All,23939000,,,3/29/20,,,Oceania
Austria,All,8860000,,,3/17/20,,,Europe
Azerbaijan,All,10206000,,,,,,Asia
Bahamas,All,338000,,,3/20/20,,,North America
Bahrain,All,1506000,,,3/27/20,,,Asia
Bangladesh,All,169778000,,,3/25/20,,,Asia
Barbados,All,295000,,,3/29/20,,,North America
Belarus,All,9478000,,,4/5/20,,Only -30%,Europe
Belgium,All,11721000,,,3/19/20,,,Europe
Belize,All,380000,,,3/25/20,,,North America
Benin,All,11957000,,,4/5/20,,Only -23%,Africa
Bermuda,All,72000,,,,,,North America
Bhutan,All,783000,,,,,,Asia
Bolivia,All,11640000,,,3/21/20,,,South America
Bosnia and Herzegovina,All,3836000,,,3/22/20,,,Europe
Botswana,All,2313000,,,4/3/20,,,Africa
Brazil,All,216016000,,,3/20/20,,,South America
British Virgin Islands,All,38000,,,,,,North America
Brunei,All,465000,,,,,,Asia
Bulgaria,All,6967000,,,3/14/20,,,Europe
Burkina Faso,All,21978000,,,3/29/20,,Only -31%,Africa
Burundi,All,12632000,,,,,,Africa
Cambodia,All,16927000,,,3/22/20,,,Asia
Cameroon,All,26970000,,,3/29/20,,Only -27%,Africa
Canada,Alberta,4067175,,,3/22/20,,,North America
Canada,All,36388000,,,3/22/20,,,North America
Canada,British Columbia,4648055,,,3/22/20,,,North America
Canada,Manitoba,1278365,,,3/22/20,,,North America
Canada,New Brunswick,747101,,,3/20/20,,,North America
Canada,Newfoundland and Labrador,519716,,,3/24/20,,,North America
Canada,Northwest Territories,41786,,,3/22/20,,,North America
Canada,Nova Scotia,923598,,,3/22/20,,,North America
Canada,Nunavut,35944,,,3/29/20,,,North America
Canada,Ontario,13448494,,,3/22/20,,,North America
Canada,Prince Edward Island,142907,,,3/20/20,,,North America
Canada,Quebec,8164361,,,3/22/20,,,North America
Canada,Saskatchewan,1098352,,,3/20/20,,,North America
Canada,Yukon,35874,,,3/22/20,,,North America
Cape Verde,All,584000,,,3/22/20,,,Africa
Cayman Islands,All,62000,,,,,,North America
Central African Republic,All,5991000,,,,,,Africa
Chad,All,12756000,,,,,,Africa
Chile,All,18187000,,,3/20/20,,,South America
China,All,1397026000,,,1/24/20,,,Asia
China,Anhui,62550000,,,1/24/20,,,Asia
China,Beijing,21710000,,,1/24/20,,,Asia
China,Chongqing,30750000,,,1/24/20,,,Asia
China,Fujian,39110000,,,1/24/20,,,Asia
China,Gansu,26260000,,,1/24/20,,,Asia
China,Guangdong,111690000,,,1/24/20,,,Asia
China,Guangxi,48850000,,,1/24/20,,,Asia
China,Guizhou,35550000,,,1/24/20,,,Asia
China,Hainan,9170000,,,1/24/20,,,Asia
China,Hebei,75200000,,,1/24/20,,,Asia
China,Heilongjiang,37890000,,,1/24/20,,,Asia
China,Henan,95590000,,,1/24/20,,,Asia
China,Hong Kong,7335384,,,1/24/20,,,Asia
China,Hubei,59020000,,,1/24/20,,,Asia
China,Hunan,68600000,,,1/24/20,,,Asia
China,Inner Mongolia,25290000,,,1/24/20,,,Asia
China,Jiangsu,80290000,,,1/24/20,,,Asia
China,Jiangxi,46220000,,,1/24/20,,,Asia
China,Jilin,27170000,,,1/24/20,,,Asia
China,Liaoning,43690000,,,1/24/20,,,Asia
China,Ningxia,6820000,,,1/24/20,,,Asia
China,Qinghai,5980000,,,1/24/20,,,Asia
China,Shaanxi,38350000,,,1/24/20,,,Asia
China,Shandong,100060000,,,1/24/20,,,Asia
China,Shanghai,24180000,,,1/24/20,,,Asia
China,Shanxi,36820000,,,1/24/20,,,Asia
China,Sichuan,83020000,,,1/24/20,,,Asia
China,Tianjin,15570000,,,1/24/20,,,Asia
China,Tibet,3370000,,,1/24/20,,,Asia
China,Xinjiang,24450000,,,1/24/20,,,Asia
China,Yunnan,48010000,,,1/24/20,,,Asia
China,Zhejiang,56570000,,,1/24/20,,,Asia
Colombia,All,49085000,,,3/20/20,,,South America
Comoros,All,847000,,,,,,Africa
Cook Islands,All,9000,,,,,,Oceania
Costa Rica,All,5098000,,,3/20/20,,,North America
Croatia,All,4428000,,,3/20/20,,,Europe
Cuba,All,10932000,,,,,,North America
Curaçao,All,152000,,,,,,North America
Cyprus,All,1267000,,,,,,Asia
Czech Republic,All,10703000,,,3/14/20,,,Europe
Democratic Republic of the Congo,All,89250000,,,,,,Africa
Denmark,All,5643000,,,3/18/20,,,Europe
Djibouti,All,922000,,,,,,Africa
Dominica,All,75000,,,,,,North America
Dominican Republic,All,11110000,,,3/17/20,,,North America
Ecuador,All,16905000,,,3/17/20,,,South America
Egypt,All,99667000,,,3/22/20,,,Africa
El Salvador,All,6218000,,,3/21/20,,,North America
Equatorial Guinea,All,837000,,,,,,Africa
Eritrea,All,7260000,,,,,,Africa
Estonia,All,1229000,,,3/17/20,,,Europe
Eswatini,All,1514000,,,,,,
Ethiopia,All,114641000,,,,,,Africa
Faroe Islands,All,52000,,,,,,
Federated States of Micronesia,All,103000,,,,,,Oceania
Fiji,All,936000,,,3/29/20,,,Oceania
Finland,All,5572000,,,3/20/20,,,Europe
France,All,67849000,,,3/17/20,,,Europe
French Polynesia,All,296000,,,,,,
Gabon,All,1877000,,,3/22/20,,Only -37%,Africa
Gambia,All,2174000,,,,,,Africa
Georgia,All,4931000,,,3/22/20,,,Asia
Germany,All,82983000,,,3/20/20,,,Europe
Ghana,All,29341000,,,3/30/20,,,Africa
Gibraltar,All,30000,,,,,,Europe
Greece,All,10743000,,,3/14/20,,,Europe
Greenland,All,58000,,,,,,North America
Grenada,All,114000,,,,,,North America
Guam,All,169000,,,,,,Asia
Guatemala,All,16265000,,,3/18/20,,,North America
Guernsey,All,68000,,,,,,
Guinea,All,13420000,,,,,,Africa
Guinea-Bissau,All,1893000,,,3/22/20,,,Africa
Guyana,All,751000,,,,,,South America
Haiti,All,10693000,,,3/22/20,,Only -34%,North America
Honduras,All,9466000,,,3/17/20,,,North America
Hungary,All,9772000,,,3/22/20,,,Europe
Iceland,All,358000,,,,,,Europe
India,All,1326094000,,,3/22/20,,,Asia
Indonesia,All,279080000,,,3/29/20,,,Asia
Iran,All,86544000,,,3/5/20,,,Asia
Iraq,All,42213000,,,3/17/20,,,Asia
Ireland,All,5177000,,,3/18/20,,,Europe
Isle of Man,All,91000,,,,,,
Israel,All,9178000,,,3/18/20,,,Asia
Italy,All,62403000,,,3/9/20,,,Europe
Ivory Coast,All,25504000,,,3/29/20,,Only -33%,Africa
Jamaica,All,3052000,,,3/22/20,,,North America
Japan,All,126138000,,,2/15/20,,,Asia
Jersey,All,102000,,,,,,
Jordan,All,7690000,,,3/17/20,,,Asia
Kazakhstan,All,19092000,,,3/22/20,,,Asia
Kenya,All,49859000,,,3/29/20,,,Africa
Kiribati,All,112000,,,,,,Oceania
Kosovo,All,1933000,,,,,,Europe
Kuwait,All,2994000,,,3/18/20,,,Asia
Kyrgyzstan,All,5965000,,,3/20/20,,,Asia
Laos,All,7448000,,,3/29/20,,,Asia
Latvia,All,1882000,,,3/22/20,,,Europe
Lebanon,All,5470000,,,3/14/20,,,Asia
Lesotho,All,1970000,,,,,,Africa
Liberia,All,4728000,,,,,,Africa
Libya,All,6943000,,,3/22/20,,,Africa
Liechtenstein,All,40000,,,3/19/20,,,Europe
Lithuania,All,2732000,,,3/18/20,,,Europe
Luxembourg,All,629000,,,3/17/20,,,Europe
Macau,All,615000,,,,,,Asia
Madagascar,All,26956000,,,,,,Africa
Malawi,All,21197000,,,,,,Africa
Malaysia,All,32653000,,,3/17/20,,,Asia
Maldives,All,392000,,,,,,Asia
Mali,All,19714000,,,4/5/20,,Only -24%,Africa
Malta,All,420000,,,3/16/20,,,Europe
Marshall Islands,All,78000,,,,,,Oceania
Mauritania,All,4006000,,,,,,Africa
Mauritius,All,1380000,,,3/20/20,,,Africa
Mexico,All,128650000,,,3/29/20,,,North America
Moldova,All,3365000,,,3/17/20,,,Europe
Monaco,All,31000,,,,,,Europe
Mongolia,All,3169000,,,,,,Asia
Montenegro,All,640000,,,,,,Europe
Montserrat,All,6000,,,,,,North America
Morocco,All,34956000,,,,,,Africa
Mozambique,All,28604000,,,3/22/20,,Only at -32%,Africa
Myanmar,All,59126000,,,3/27/20,,,Asia
Namibia,All,2263000,,,3/27/20,,,Africa
Nauru,All,10000,,,,,,Oceania
Nepal,All,34209000,,,3/23/20,,,Asia
Netherlands,All,17281000,,,3/19/20,,,Europe
New Caledonia,All,291000,,,,,,
New Zealand,All,4715000,,,3/23/20,,,Oceania
Nicaragua,All,6204000,,,3/22/20,,,North America
Niger,All,21152000,,,3/29/20,,Only -23%,Africa
Nigeria,All,204950000,,,3/27/20,,,Africa
North Korea,All,25644000,,,,,,Asia
North Macedonia,All,2113000,,,3/14/20,,,Europe
Northern Mariana Islands,All,58000,,,,,,
Norway,All,5468000,,,3/14/20,,,Europe
Oman,All,3635000,,,3/20/20,,,Asia
Pakistan,All,213720000,,,3/22/20,,,Asia
Palau,All,22000,,,,,,Oceania
Palestinian territories,All,5181000,,,,,,Asia
Panama,All,3895000,,,3/20/20,,,North America
Papua New Guinea,All,7260000,,,3/24/20,,Only -19%,Oceania
Paraguay,All,7192000,,,3/15/20,,,South America
Peru,All,31915000,,,3/17/20,,,South America
Philippines,All,109181000,,,3/17/20,,,Asia
Poland,All,38283000,,,3/15/20,,,Europe
Portugal,All,10843000,,,3/15/20,,,Europe
Puerto Rico,All,3520000,,,3/15/20,,,North America
Qatar,All,2445000,,,3/20/20,,,Asia
Republic of the Congo,All,5294000,,,,,,Africa
Romania,All,21303000,,,3/18/20,,,Europe
Russia,All,145723000,,,,,,Europe
Rwanda,All,14328000,,,3/22/20,,,Africa
Saint Helena,All,8000,,,,,,North America
Saint Kitts and Nevis,All,54000,,,,,,North America
Saint Lucia,All,167000,,,,,,North America
Saint Martin,All,33000,,,,,,North America
Saint Pierre and Miquelon,All,6000,,,,,,North America
Saint Vincent and the Grenadines,All,102000,,,,,,North America
Samoa,All,204000,,,,,,Oceania
San Marino,All,35000,,,,,,Europe
Saudi Arabia,All,29819000,,,3/22/20,,,Asia
Senegal,All,15737000,,,3/24/20,,,Africa
Serbia,All,7013000,,,,,,Europe
Seychelles,All,96000,,,,,,Africa
Sierra Leone,All,6625000,,,,,,Africa
Singapore,All,6210000,,,2/1/20,,Only -23%,Asia
Sint Maarten,All,44000,,,,,,
Slovakia,All,5441000,,,3/13/20,,,Europe
Slovenia,All,1952000,,,3/14/20,,,Europe
Solomon Islands,All,686000,,,,,,Oceania
Somalia,All,11758000,,,,,,Africa
South Africa,All,56464000,,,3/27/20,,,Africa
South Korea,All,49362000,1.5,,2/15/20,,,Asia
South Sudan,All,14559000,,,,,,Africa
Spain,All,50016000,,,3/15/20,,,Europe
Sri Lanka,All,22890000,,,3/20/20,,,Asia
Sudan,All,41131000,,,,,,Africa
Suriname,All,610000,,,,,,South America
Sweden,All,10203000,,,3/15/20,,Only -25%,Europe
Switzerland,All,8404000,,,3/17/20,,,Europe
Syria,All,22347000,,,,,,Asia
Taiwan,All,23604000,,,2/1/20,,No lockdown,Asia
Tajikistan,All,8874000,,,,,,Asia
Tanzania,All,58553000,,,4/5/20,,Only -20%,Africa
Thailand,All,68978000,,,3/24/20,,,Asia
Timor-Leste,All,1384000,,,,,,
Togo,All,8609000,,,3/29/20,,Only -42%,Africa
Tonga,All,107000,,,,,,Oceania
Trinidad and Tobago,All,1209000,,,3/29/20,,,North America
Tunisia,All,11495000,,,,,,Africa
Turkey,All,82018000,,,3/20/20,,,Asia
Turkmenistan,All,5929000,,,,,,Asia
Turks and Caicos Islands,All,56000,,,,,,North America
Tuvalu,All,12000,,,,,,Oceania
Uganda,All,43518000,,,3/27/20,,,Africa
Ukraine,All,43923000,,,,,,Europe
United Arab Emirates,All,6496000,,,3/20/20,,,Asia
United Kingdom,All,65762000,,,3/19/20,,,Europe
United States,Atlanta Metro,5549211,,,3/22/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Baltimore Metro,2770738,,,3/22/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Boston Metro,4684299,,,3/20/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Charlotte Metro,2421218,,,3/22/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Chicago Metro,9537289,,,3/20/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Cincinnati Metro,2137406,,,3/23/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Cleveland Metro,2064725,,,3/23/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Dallas Fort-Worth Metro,6810913,,,3/22/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Denver Metro,2697476,,,3/18/20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
